"rock climbing, spiritual retreats, golfing","Royal Colombo Golf Club, Nuwara Eliya Golf Club, Sri Dalada Maligawa, Surathali Ella, Knuckles"
"beach visits, sailing, sea cruises","Koggala Beach, Marakolliya Beach, Arugam Bay Beach, Trincomalee Harbour, Passikuda Beach"
"village homestays, rock climbing, zip-lining","Ella Rock, Yapahuwa Rock Fortress, Haputale, Kithulgala, Surathali Ella"
"history tours, camping, horseback riding","Belihuloya, Meemure, Sigiriya, Yala National Park, Polonnaruwa Ancient City"
"architecture tours, rock climbing, river cruises","Madu River, Galle Dutch Fort, Knuckles, Surathali Ella, Sigiriya"
"golfing, outdoor adventures, surfing","Hikkaduwa Coral Sanctuary, Mirissa Beach, Hikkaduwa Beach, Kitulgala, Pigeon Island"
"elephant rides, architecture tours, village homestays","Udawalawe, Galle Dutch Fort, Pinnawala, Haputale, Sigiriya"
"beachfront dining, tea tasting, architecture photography","Galle, Ambuluwawa Tower, Velgam Vehera Buddhist Temple, Dambulla Royal Cave Temple and Golden Temple, Nuwara Eliya"
"craft workshops, wildlife viewing, ayurvedic spa treatments","Batadombalena Craft Centre, Minneriya National Park, Bentota, Wasgamuwa National Park, Ambalangoda Mask Workshop"
"paddleboarding, cultural experiences, tea tasting","Arankelle Forest Monastery, Unawatuna Beach, Mihintale, Kandy, Trincomalee"
"local crafts, bird watching, wildlife viewing","Wilpattu National Park, Minneriya National Park, Anawilundawa Wetlands, Yala National Park, Udawalawe National Park"
"snorkeling, spiritual retreats, hot air ballooning","Dambulla Royal Cave Temple and Golden Temple, Unawatuna Beach, Nilaveli Beach, Pigeon Island, Kandalama"
"village homestays, sailing lessons, whale watching","Hikkaduwa, Negombo, Trincomalee, Haputale, Ella"
"local crafts, themed parks, outdoor adventures","Hikkaduwa Coral Sanctuary, Kitulgala, Kandy, Pigeon Island, Jungle Beach"
"village homestays, literary tours, landscape photography","Martin Wickramasinghe Folk Museum, Jaffna Public Library, Haputale, Ella Gap, Horton Plains"
"botanical gardens, city tours, history tours","Dry Zone Botanic Gardens, Hambantota, Colombo City Tour, Polonnaruwa Ancient City, Royal Botanical Gardens, Peradeniya, Kandy City Centre"
"planetarium visits, paddleboarding, zip-lining","Kithulgala, Unawatuna Beach, Sri Lanka Planetarium, Bentota River, Negambo"
"yoga retreats, history tours, kayaking","Kitulgala, Sigiriya, Galle, Hiriketiya, Bentota River"
"water parks, boat safaris, paddleboarding","Pearl Bay, Madu River, Trincomalee, Unawatuna Beach, Leisure World"
"hiking, history tours, local crafts","Kandy, Sri Pada / Adams Peak, Polonnaruwa Ancient City, Ella Rock, Horton Plains National Park"
"outdoor adventures, history tours, animal encounters","Pigeon Island, Elephant Transit Home, Kitulgala, Pinnawala Elephant Orphanage, Hikkaduwa Coral Sanctuary"
"museum visits, history tours, landscape photography","National Museum Galle, Ella Gap, Horton Plains, Colombo National Museum, Dutch Museum"
"photography, traditional ceremonies, boat safaris","Bentota River, Nine Arches Bridge, Sigiriya, Yala National Park, Madu River"
"snorkeling, historic sites, theater","Unawatuna Beach, Sigiriya, Polonnaruwa Ancient City, Hikkaduwa Beach, Mirissa Beach"
"themed parks, outdoor adventures, camping","Pigeon Island, Yala National Park, Knuckles, Horton Plains, Viharamahadevi Park"
"city tours, snorkeling, traditional ceremonies","Galle City Tour, Hikkaduwa Beach, Kandy City Centre, Pigeon Island, Colombo City Tour"
"turtle watching, cycling, boat safaris","Bentota River, Rekawa Beach, Hatton, Kosgoda Turtle Hatchery, Pigeon Island"
"caving, traditional ceremonies, waterfalls","Bambarakanda Falls, Bopath Falls, Batatotalena (Batadombalena) Cave, Bomburu Ella Waterfall, St Clairs Falls"
"cycling, literary tours, historical monuments","Hatton, Jaffna Public Library, Martin Wickramasinghe Folk Museum, Anuradhapura, Polonnaruwa"
"camping, historic walks, hiking","Anuradapura, Sri Pada / Adams Peak, Meemure, Kandy Lake, Polonaruwa"
"fishing, cultural experiences, planetarium visits","Kandy Temple, Arankelle Forest Monastery, Sri Dalada Maligawa, Mihintale, Sri Lanka Planetarium"
"planetarium visits, craft workshops, landscape photography","Horton Plains, Ella Gap, Batadombalena Craft Centre, Sri Lanka Planetarium, Ambalangoda Mask Workshop"
"cycling, horseback riding, historic walks","Anuradapura, Nuwara Eliya, Polonaruwa, Kandy Lake, Dambulla"
"turtle watching, archaeological sites, amusement parks","Anuradhapura, Polonaruwa, Hikkaduwa, Perl Bay, Excel World"
"whale watching, sightseeing, yoga retreats","Hiriketiya, Ella, Horton Plains, Galle Lighthouse, Hikkaduwa"
"sightseeing, craft workshops, hot springs","Kanniya Hot Springs, Pidurangala Rock, Maha Oya Hot Water Springs, Ambalangoda Mask Workshop, Horton Plains"
"ayurvedic spa treatments, caving, village homestays","Wavulpone Cave, Haputale, Ella, Belilena Caves, Batatotalena (Batadombalena) Cave"
"camping, river cruises, city tours","Madu River, Bentota River, Horton Plains, Meemure, Kandy City Centre"
"arts and culture, yoga retreats, elephant rides","Jaffna Public Library, Museum of Modern and Contemporary Art, Galle, Gangaramaya Temple, National Gallery of Art"
"horse shows, golfing, amusement parks","Perl Bay, Royal Colombo Golf Club, Nuwara Eliya, Leisure World, Kandy"
"sailing, caving, temple pilgrimages","Mihintale, Trincomalee Harbour, Belilena Caves, Ritigala, Sri Pada / Adams Peak"
"amusement parks, boat safaris, sailing lessons","Perl Bay, Colombo Port City, Bentota River, Leisure World, Madu River"
"traditional ceremonies, wildlife viewing, snorkeling","Yala National Park, Nilaveli Beach, Udawalawe National Park, Unawatuna Beach, Wilpattu National Park"
"spiritual retreats, golfing, safaris","Royal Colombo Golf Club, Victoria Golf Club, Yala National Park, Nuwara Eliya Golf Club, Ruhunu Maha Kataragama Dewalaya"
"river cruises, outdoor adventures, temple pilgrimages","Madu River, Jaya Sri Maha Bodhi, Bentota River, Sri Pada / Adams Peak, Dambulla Royal Cave Temple and Golden Temple"
"elephant rides, hot air ballooning, cultural experiences","Mihintale, Udawalawe, Sri Dalada Maligawa, Dambulla Royal Cave Temple and Golden Temple, Kandy Temple"
"landscape photography, boat safaris, archaeological sites","Ella Gap, Sigiriya, Horton Plains, Polonaruwa, Bentota River"
"theater, rock climbing, wildlife viewing","Wilpattu National Park, Udawalawe National Park, Kanneliya National Rain Forest Reserve, Knuckles, Yapahuwa Rock Fortress"
"sea cruises, outdoor adventures, cycling","Trincomalee Harbour, Hikkaduwa Coral Sanctuary, Pigeon Island, Ella, Negombo Lagoon"
"traditional ceremonies, temple pilgrimages, craft workshops","Batadombalena Craft Centre, Ambalangoda Mask Workshop, Nallur Kandaswamy Kovil, Sri Pada / Adams Peak, Dambulla Royal Cave Temple and Golden Temple"
"historic walks, beach visits, mountain biking","Marakolliya Beach, Kandy Lake, Jungle beach, Koggala Beach, Anuradapura"
"museum visits, camping, amusement parks","Knuckles, National Museum Galle, Belihuloya, Kandy National Museum, Excel World"
"scuba diving, sea cruises, sailing","Negombo, Kalpitiya, Trincomalee Harbour, Pigeon Island, Colombo Port City"
"camping, historic walks, snorkeling","Kitugala Forest, Vaddha Village Camping, Horton Plains, Galle Fort, Mirissa Beach"
"historic sites, hot air ballooning, theater","Mihintale, Polonnaruwa Ancient City, Dambulla, Anuradhapura, Nelung Arts Centre"
"planetarium visits, cultural experiences, camping","Knuckles, Mihintale, Meemure, Dambulla Royal Cave Temple and Golden Temple, Vaddha Village Camping"
"caving, arts and culture, beach visits","Nilaveli Beach, Belilena Caves, Jungle beach, Arugam Bay Beach, Uppuveli Beach"
"butterfly watching, city tours, village homestays","Colombo City Tour, Sinharaja Forest Reserve, Horton Plains National Park, Kandy City Centre, Ella"
"waterfalls, historic walks, beachfront dining","Kandy Lake, St Clairs Falls, Bakers Falls, Mirissa Beach, Unawatuna"
"wildlife viewing, cultural experiences, theater","Kanneliya National Rain Forest Reserve, Anuradhapura, Lionel Wendt Art Centre, Wasgamuwa National Park, Mihintale"
"hot springs, temple pilgrimages, arts and culture","Madunagala Hot Water Spring, Nelung Arts Centre, Mahapelessa Hot Springs, Jaya Sri Maha Bodhi, Maha Oya Hot Water Springs"
"theater, fishing, outdoor adventures","Kitulgala, Negombo Lagoon, Trincomalee, Nelung Arts Centre, Nelum Pokuna Theatre"
"cultural experiences, sea cruises, paddleboarding","Unawatuna Beach, Mirissa Beach, Negombo Lagoon, Trincomalee, Colombo Port City"
"historical monuments, cycling, traditional ceremonies","Sri Dalada Maligawa, Anuradhapura, Hatton, Ella, Polonnaruwa"
"temple pilgrimages, whale watching, fishing","Weligama Beach, Mirissa Beach, Dambulla Royal Cave Temple and Golden Temple, Trincomalee, Jaya Sri Maha Bodhi"
"horse shows, mountain biking, animal encounters","Hatton, Nuwara Eliya, Knuckles, Yala National Park, Kanneliya National Rain Forest Reserve"
"hot air ballooning, traditional ceremonies, turtle watching","Kosgoda Turtle Hatchery, Hikkaduwa, Nallur Kandaswamy Kovil, Sri Dalada Maligawa, Kandalama"
"whale watching, arts and culture, horse shows","National Gallery of Art, Nelung Arts Centre, Nuwara Eliya, Kandy, Jaffna Public Library"
"arts and culture, amusement parks, wildlife viewing","Kanneliya National Rain Forest Reserve, Excel World, Jaffna Public Library, Perl Bay, National Gallery of Art"
"city tours, water parks, rock climbing","Colombo City Tour, Surathali Ella, Knuckles, Pearl Bay, Water World Lanka"
"theater, public art installations, elephant rides","Colombo, Kandy, Udawalawe, Lionel Wendt Art Centre, Nelung Arts Centre"
"hot springs, animal encounters, history tours","Madunagala Hot Water Spring, Polonnaruwa Ancient City, Pinnawala Elephant Orphanage, Maha Oya Hot Water Springs, Udawalawe National Park"
"rock climbing, amusement parks, historical monuments","Surathali Ella, Polonnaruwa, Ella Rock, Colombo Port City, Perl Bay"
"rock climbing, historical monuments, cultural experiences","Dambulla Royal Cave Temple and Golden Temple, Surathali Ella, Kandy Temple, Arankelle Forest Monastery, Yapahuwa Rock Fortress"
"paddleboarding, bird watching, botanical gardens","Hakgala Botanical Garden, Royal Botanical Gardens, Peradeniya, Sinharaja Forest Reserve, Horton Plains National Park, Anawilundawa Wetlands"
"architecture photography, turtle watching, historic sites","Velgam Vehera Buddhist Temple, Dambulla Royal Cave Temple and Golden Temple, Sigiriya, Polonnaruwa Ancient City, Anuradhapura"
"bird watching, camping, craft workshops","Belihuloya, Anawilundawa Wetlands, Horton Plains, Batadombalena Craft Centre, Bentota"
"whale watching, historic walks, zip-lining","Ella, Polonaruwa, Anuradapura, Kithulgala, Trincomalee"
"sailing, water parks, bird watching","Pearl Bay, Kumana National Park, Anawilundawa Wetlands, Negombo Lagoon, Colombo Port City"
"water parks, temple pilgrimages, butterfly watching","Sri Pada / Adams Peak, Jaya Sri Maha Bodhi, Leisure World, Knuckles, Kanneliya National Rain Forest Reserve"
"beachfront dining, hiking, public art installations","Colombo, Sri Pada / Adams Peak, Unawatuna, Mirissa Beach, Ella Rock"
"cultural festivals, waterfalls, water parks","Devon Falls, Bambarakanda Falls, Bambarakiri Ella, Pearl Bay, Nallur Kandaswamy Devasthanam"
"sailing, landscape photography, historical monuments","Trincomalee Harbour, Horton Plains, Polonnaruwa, Negombo Lagoon, Colombo Port City"
"safaris, historic walks, architecture photography","Velgam Vehera Buddhist Temple, Kandy Lake, Wilpattu National Park, Sigiriya, Minneriya National Park"
"camping, themed parks, water parks","Belihuloya, Yala National Park, Jungle Beach, Vaddha Village Camping, Knuckles"
"whale watching, architecture tours, archaeological sites","Anuradhapura, Polonaruwa, Trincomalee, Sigiriya, Galle Dutch Fort"
"sailing lessons, craft workshops, local crafts","Batadombalena Craft Centre, Ambalangoda Mask Workshop, Ambalangoda, Negombo, Trincomalee"
"photography, historic walks, art classes","Polonaruwa, Sinharaja Forest Reserve, Galle Fort, Ella, Galle"
"kayaking, hiking, whale watching","Bentota River, Bolgoda Lake, Ahungalla, Mirissa Beach, Madu River"
"landscape photography, yoga retreats, museum visits","Ella Gap, National Museum Galle, Maritime Museum, Galle, Ratnapura Gem Museum"
"history tours, horseback riding, amusement parks","Polonnaruwa Ancient City, Nuwara Eliya, Haputale, Colombo Port City, Sigiriya"
"city tours, camping, turtle watching","Yala National Park, Vaddha Village Camping, Horton Plains, Colombo City Tour, Rekawa Beach"
"art classes, whale watching, caving","Trincomalee, Mahalenama Cave, Batatotalena (Batadombalena) Cave, Ritigala, Wavulpone Cave"
"amusement parks, architecture tours, spiritual retreats","Sri Dalada Maligawa, Seetha Eliya, Colombo Port City, Sri Pada / Adams Peak, Excel World"
"cultural experiences, amusement parks, horseback riding","Kandy Temple, Haputale, Arankelle Forest Monastery, Dambulla, Excel World"
"sea cruises, sailing, city tours","Trincomalee Harbour, Mirissa Beach, Colombo City Tour, Kandy City Centre, Galle City Tour"
"traditional ceremonies, sailing, spiritual retreats","Negombo Lagoon, Nallur Kandaswamy Kovil, Sri Dalada Maligawa, Trincomalee Harbour, Trincomalee"
"sea cruises, themed parks, turtle watching","Pigeon Island, Trincomalee Harbour, Negombo Lagoon, Kosgoda Turtle Hatchery, Rekawa Beach"
"beach visits, city tours, river cruises","Galle City Tour, Nilaveli Beach, Mirissa Beach, Jungle beach, Tangalle Beach"
"village homestays, outdoor adventures, horse shows","Ella, Kandy, Pigeon Island, Kitulgala, Haputale"
"beach visits, bird watching, art classes","Marakolliya Beach, Tangalle Beach, Hiriketiya Beach, Uppuveli Beach, Passikuda Beach"
"river cruises, rock climbing, theater","Bentota River, Nelung Arts Centre, Lionel Wendt Art Centre, Nelum Pokuna Theatre, Madu River"
"archaeological sites, rock climbing, yoga retreats","Surathali Ella, Yapahuwa Rock Fortress, Ella Rock, Hiriketiya, Galle"
"planetarium visits, literary tours, horseback riding","Nuwara Eliya, Martin Wickramasinghe Folk Museum, Dambulla, Haputale, Sri Lanka Planetarium"
"art classes, surfing, museum visits","Maritime Museum, Arugam Bay Beach, Dutch Museum, Colombo National Museum, Folk Museum"
"architecture photography, wildlife viewing, museum visits","Kanneliya National Rain Forest Reserve, Sigiriya, Ratnapura Gem Museum, Ambuluwawa Tower, Minneriya National Park"
"mountain biking, river cruises, literary tours","Bentota River, Hatton, Jaffna Public Library, Martin Wickramasinghe Folk Museum, Knuckles"
"theater, river cruises, rock climbing","Nelum Pokuna Theatre, Madu River, Ella Rock, Lionel Wendt Art Centre, Knuckles"
"rock climbing, village homestays, animal encounters","Pinnawala Elephant Orphanage, Surathali Ella, Udawalawe National Park, Haputale, Knuckles"
"beach visits, botanical gardens, elephant rides","Jungle beach, Hakgala Botanical Garden, Pinnawala, Nilaveli Beach, Tangalle Beach"
"literary tours, surfing, outdoor adventures","Riverstone Gap, Weligama Beach (surf and stay), Ahangama, Arugam Bay Beach, Tangalle"
"art classes, cycling, water parks","Hatton, Water World Lanka, Galle, Colombo, Leisure World"
"caving, outdoor adventures, mountain biking","Hikkaduwa Coral Sanctuary, Hatton, Kitulgala, Wavulpone Cave, Pigeon Island"
"history tours, whale watching, river cruises","Polonnaruwa Ancient City, Madu River, Hikkaduwa, Sigiriya, Galle Dutch Fort"
"city tours, hot air ballooning, village homestays","Dambulla, Galle City Tour, Kandy City Centre, Ella, Colombo City Tour"
"water parks, sightseeing, paddleboarding","Horton Plains, Ella, Leisure World, Unawatuna Beach, Galle Lighthouse"
"hiking, historical monuments, theater","Ella Rock, Nelung Arts Centre, Horton Plains National Park, Lionel Wendt Art Centre, Anuradhapura"
"craft workshops, art classes, historic walks","Bentota, Anuradapura, Galle, Colombo, Kandy Lake"
"theater, city tours, beach visits","Nilaveli Beach, Jungle beach, Colombo City Tour, Hiriketiya Beach, Tangalle Beach"
"architecture photography, elephant rides, history tours","Udawalawe, Sigiriya, Ambuluwawa Tower, Galle Dutch Fort, Galle Fort"
"sailing lessons, themed parks, art classes","Jungle Beach, Colombo, Negombo, Galle, Trincomalee"
"city tours, beach visits, mountain biking","Kandy City Centre, Colombo City Tour, Hatton, Galle City Tour, Hiriketiya Beach"
"botanical gardens, wildlife viewing, scuba diving","Wasgamuwa National Park, Royal Botanical Gardens, Peradeniya, Wilpattu National Park, Dry Zone Botanic Gardens, Hambantota, Seethawaka Wet Zone Botanical Gardens"
"spiritual retreats, local crafts, water parks","Dambulla Royal Cave Temple and Golden Temple, Sri Pada / Adams Peak, Sri Dalada Maligawa, Trincomalee, Ambalangoda"
"mountain biking, rock climbing, kayaking","Yapahuwa Rock Fortress, Knuckles, Ahungalla, Bolgoda Lake, Unawatuna Lagoon"
"traditional ceremonies, surfing, zip-lining","Nallur Kandaswamy Kovil, Mirissa Beach, Tangalle, Ahangama, Weligama Beach (surf and stay)"
"cultural festivals, botanical gardens, turtle watching","Rekawa Beach, Royal Botanical Gardens, Peradeniya, Hikkaduwa, Pigeon Island, Hakgala Botanical Garden"
"archaeological sites, caving, historic sites","Sigiriya, Mahalenama Cave, Belilena Caves, Polonnaruwa Ancient City, Ritigala"
"art classes, literary tours, horseback riding","Jaffna Public Library, Galle, Dambulla, Haputale, Nuwara Eliya"
"arts and culture, sightseeing, kayaking","Ahungalla, Ella, Kitulgala, Jaffna Public Library, Gangaramaya Temple"
"golfing, architecture photography, sea cruises","Negombo Lagoon, Mirissa Beach, Victoria Golf Club, Colombo Port City, Dambulla Royal Cave Temple and Golden Temple"
"themed parks, theater, snorkeling","Unawatuna Beach, Nelung Arts Centre, Mirissa Beach, Viharamahadevi Park, Nelum Pokuna Theatre"
"theater, architecture tours, snorkeling","Sigiriya, Lionel Wendt Art Centre, Hikkaduwa Beach, Mirissa Beach, Nilaveli Beach"
"rock climbing, historical monuments, arts and culture","Anuradhapura, National Gallery of Art, Surathali Ella, Nelung Arts Centre, Yapahuwa Rock Fortress"
"spiritual retreats, whale watching, camping","Horton Plains, Mirissa Beach, Meemure, Yala National Park, Belihuloya"
"traditional ceremonies, tea tasting, cultural experiences","Arankelle Forest Monastery, Mihintale, Sri Dalada Maligawa, Dambulla Royal Cave Temple and Golden Temple, Nallur Kandaswamy Kovil"
"boat safaris, hot springs, beachfront dining","Bentota River, Kanniya Hot Springs, Mahapelessa Hot Springs, Mirissa Beach, Madu River"
"photography, paddleboarding, cultural festivals","Ella, Kandy, Negambo, Sinharaja Forest Reserve, Nallur Kandaswamy Devasthanam"
"planetarium visits, amusement parks, river cruises","Bentota River, Colombo Port City, Excel World, Sri Lanka Planetarium, Leisure World"
"animal encounters, water parks, historic walks","Galle Fort, Udawalawe National Park, Pinnawala Elephant Orphanage, Kandy Lake, Pearl Bay"
"craft workshops, river cruises, literary tours","Bentota River, Martin Wickramasinghe Folk Museum, Batadombalena Craft Centre, Bentota, Jaffna Public Library"
"caving, history tours, sailing lessons","Galle Dutch Fort, Negombo, Mahalenama Cave, Belilena Caves, Polonnaruwa Ancient City"
"hot springs, cultural festivals, scuba diving","Trincomalee, Mahapelessa Hot Springs, Kanniya Hot Springs, Nallur Kandaswamy Devasthanam, Madunagala Hot Water Spring"
"zip-lining, historic sites, beachfront dining","Galle, Sigiriya, Galle Dutch Fort, Unawatuna, Mirissa Beach"
"cultural festivals, zip-lining, temple pilgrimages","Mihintale, Kandy, Ella, Nallur Kandaswamy Devasthanam, Jaya Sri Maha Bodhi"
"cultural experiences, kayaking, rock climbing","Dambulla Royal Cave Temple and Golden Temple, Bentota River, Ahungalla, Kandy Temple, Sri Dalada Maligawa"
"wildlife viewing, traditional ceremonies, archaeological sites","Wasgamuwa National Park, Anuradhapura, Kanneliya National Rain Forest Reserve, Sigiriya, Sri Dalada Maligawa"
"local crafts, butterfly watching, spiritual retreats","Kanneliya National Rain Forest Reserve, Dambulla Royal Cave Temple and Golden Temple, Horton Plains National Park, Kandy, Knuckles"
"photography, craft workshops, waterfalls","Nine Arches Bridge, Horton Plains National Park, Bambarakanda Falls, Bakers Falls, Bambarakiri Ella"
"yoga retreats, theater, bird watching","Galle, Horton Plains National Park, Anawilundawa Wetlands, Bundala National Park, Nelung Arts Centre"
"sea cruises, archaeological sites, botanical gardens","Hakgala Botanical Garden, Dry Zone Botanic Gardens, Hambantota, Trincomalee Harbour, Royal Botanical Gardens, Peradeniya, Anuradhapura"
"waterfalls, craft workshops, turtle watching","Ravan Ella Waterfall, Bambarakiri Ella, Diyaluma Falls, Bentota, Bopath Falls"
"zip-lining, amusement parks, historical monuments","Excel World, Colombo Port City, Polonnaruwa, Ella, Kithulgala"
"mountain biking, elephant rides, sea cruises","Udawalawe, Mirissa Beach, Knuckles, Hatton, Colombo Port City"
"cultural festivals, elephant rides, archaeological sites","Sigiriya, Nallur Kandaswamy Devasthanam, Pinnawala, Polonaruwa, Udawalawe"
"safaris, historic sites, hot air ballooning","Dambulla, Kandalama, Sigiriya, Mihintale, Wilpattu National Park"
"surfing, history tours, zip-lining","Galle Dutch Fort, Arugam Bay Beach, Polonnaruwa Ancient City, Sigiriya, Kithulgala"
"local crafts, cultural experiences, village homestays","Haputale, Mihintale, Sri Dalada Maligawa, Arankelle Forest Monastery, Anuradhapura"
"snorkeling, cultural festivals, art classes","Nallur Kandaswamy Devasthanam, Kandy, Mirissa Beach, Galle, Pigeon Island"
"horse shows, fishing, mountain biking","Weligama Beach, Nuwara Eliya, Trincomalee, Kandy, Hikkaduwa"
"beachfront dining, camping, historic sites","Meemure, Anuradhapura, Mihintale, Galle Dutch Fort, Sigiriya"
"camping, hot air ballooning, ayurvedic spa treatments","Kitugala Forest, Belihuloya, Knuckles, Horton Plains, Hikkaduwa"
"museum visits, botanical gardens, kayaking","Maritime Museum, Ahungalla, Royal Botanical Gardens, Peradeniya, National Museum Galle, Ratnapura Gem Museum"
"hot air ballooning, butterfly watching, yoga retreats","Horton Plains National Park, Knuckles, Hiriketiya, Kanneliya National Rain Forest Reserve, Sinharaja Forest Reserve"
"paddleboarding, yoga retreats, hot air ballooning","Unawatuna Beach, Dambulla, Galle, Trincomalee, Negambo"
"mountain biking, camping, photography","Belihuloya, Ella, Meemure, Kitugala Forest, Nine Arches Bridge"
"sightseeing, archaeological sites, animal encounters","Ella, Anuradhapura, Polonaruwa, Elephant Transit Home, Pinnawala Elephant Orphanage"
"water parks, hot air ballooning, fishing","Kalpitiya, Dambulla, Kandalama, Water World Lanka, Negombo Lagoon"
"historic sites, surfing, cycling","Tangalle, Arugam Bay Beach, Galle Dutch Fort, Ella, Weligama Beach (surf and stay)"
"water parks, cultural festivals, historic walks","Galle Fort, Pearl Bay, Polonaruwa, Kandy Lake, Water World Lanka"
"arts and culture, literary tours, kayaking","Colombo Port City, Bentota River, Madu River, Kitulgala, Ahungalla"
"camping, historic sites, kayaking","Kalpitiya Lagoon, Vaddha Village Camping, Mihintale, Polonnaruwa Ancient City, Kitugala Forest"
"art classes, archaeological sites, history tours","Polonnaruwa Ancient City, Polonaruwa, Anuradhapura, Colombo, Galle"
"zip-lining, boat safaris, ayurvedic spa treatments","Madu River, Ella, Kithulgala, Bentota River, Bentota"
"paddleboarding, historic sites, history tours","Polonnaruwa Ancient City, Bentota River, Unawatuna Beach, Trincomalee, Galle Dutch Fort"
"hot air ballooning, rock climbing, hiking","Ella Rock, Knuckles, Dambulla, Yapahuwa Rock Fortress, Kandalama"
"sightseeing, river cruises, historical monuments","Madu River, Polonnaruwa, Pidurangala Rock, Bentota River, Galle Lighthouse"
"spiritual retreats, horseback riding, historical monuments","Dambulla Royal Cave Temple and Golden Temple, Nuwara Eliya, Trincomalee, Sri Pada / Adams Peak, Ruhunu Maha Kataragama Dewalaya"
"caving, surfing, historic sites","Polonnaruwa Ancient City, Arugam Bay Beach, Belilena Caves, Mahalenama Cave, Anuradhapura"
"scuba diving, snorkeling, traditional ceremonies","Nilaveli Beach, Mirissa Beach, Negombo, Hikkaduwa Coral Sanctuary, Sri Dalada Maligawa"
"water parks, historical monuments, traditional ceremonies","Sri Dalada Maligawa, Anuradhapura, Leisure World, Water World Lanka, Nallur Kandaswamy Kovil"
"elephant rides, water parks, historic walks","Polonaruwa, Galle Fort, Udawalawe, Kandy Lake, Leisure World"
"caving, safaris, local crafts","Kandy, Ritigala, Ambalangoda, Batatotalena (Batadombalena) Cave, Yala National Park"
"butterfly watching, cultural experiences, ayurvedic spa treatments","Horton Plains National Park, Kanneliya National Rain Forest Reserve, Arankelle Forest Monastery, Bentota, Sinharaja Forest Reserve"
"camping, city tours, cultural experiences","Meemure, Belihuloya, Kandy Temple, Vaddha Village Camping, Arankelle Forest Monastery"
"safaris, kayaking, yoga retreats","Bentota River, Ahungalla, Kumana National Park, Wilpattu National Park, Galle"
"botanical gardens, snorkeling, horseback riding","Mirissa Beach, Dry Zone Botanic Gardens, Hambantota, Haputale, Unawatuna Beach, Royal Botanical Gardens, Peradeniya"
"waterfalls, cultural festivals, butterfly watching","Bopath Falls, Ramboda Falls, Knuckles, Kanneliya National Rain Forest Reserve, Devon Falls"
"animal encounters, sailing lessons, wildlife viewing","Wasgamuwa National Park, Wilpattu National Park, Yala National Park, Minneriya National Park, Pinnawala Elephant Orphanage"
"cultural festivals, literary tours, water parks","Nallur Kandaswamy Devasthanam, Pearl Bay, Water World Lanka, Martin Wickramasinghe Folk Museum, Jaffna Public Library"
"scuba diving, village homestays, sailing","Hikkaduwa Coral Sanctuary, Trincomalee, Pigeon Island, Trincomalee Harbour, Kalpitiya"
"local crafts, surfing, bird watching","Mirissa Beach, Kandy, Anawilundawa Wetlands, Bundala National Park, Sinharaja Forest Reserve"
"paddleboarding, hiking, history tours","Sigiriya, Polonnaruwa Ancient City, Galle Dutch Fort, Unawatuna Beach, Sri Pada / Adams Peak"
"mountain biking, scuba diving, amusement parks","Kalpitiya, Pigeon Island, Excel World, Trincomalee, Negombo"
"historical monuments, cultural experiences, beach visits","Bentota Beach, Mirissa Beach, Nilaveli Beach, Passikuda Beach, Tangalle Beach"
"rock climbing, mountain biking, horseback riding","Dambulla, Haputale, Knuckles, Ella Rock, Hatton"
"landscape photography, cultural festivals, surfing","Nallur Kandaswamy Devasthanam, Sigiriya, Kandy, Mirissa Beach, Horton Plains"
"village homestays, literary tours, horse shows","Martin Wickramasinghe Folk Museum, Jaffna Public Library, Haputale, Ella, Nuwara Eliya"
"history tours, tea tasting, local crafts","Ambalangoda, Galle Dutch Fort, Kandy, Sigiriya, Polonnaruwa Ancient City"
"architecture photography, bird watching, architecture tours","Dambulla Royal Cave Temple and Golden Temple, Kumana National Park, Galle Dutch Fort, Sinharaja Forest Reserve, Anawilundawa Wetlands"
"craft workshops, surfing, beachfront dining","Batadombalena Craft Centre, Ambalangoda Mask Workshop, Bentota, Unawatuna, Weligama Beach (surf and stay)"
"river cruises, planetarium visits, paddleboarding","Madu River, Unawatuna Beach, Sri Lanka Planetarium, Negambo, Trincomalee"
"theater, animal encounters, sailing","Negombo Lagoon, Trincomalee Harbour, Nelum Pokuna Theatre, Yala National Park, Lionel Wendt Art Centre"
"hot springs, village homestays, caving","Kanniya Hot Springs, Wavulpone Cave, Batatotalena (Batadombalena) Cave, Mahalenama Cave, Maha Oya Hot Water Springs"
"wildlife viewing, photography, animal encounters","Horton Plains National Park, Elephant Transit Home, Sinharaja Forest Reserve, Sigiriya, Ella"
"caving, city tours, literary tours","Jaffna Public Library, Mahalenama Cave, Wavulpone Cave, Ritigala, Batatotalena (Batadombalena) Cave"
"history tours, themed parks, outdoor adventures","Jungle Beach, Galle Dutch Fort, Sigiriya, Viharamahadevi Park, Pigeon Island"
"hiking, fishing, yoga retreats","Horton Plains National Park, Negombo Lagoon, Weligama Beach, Ella Rock, Galle"
"hot springs, zip-lining, river cruises","Mahapelessa Hot Springs, Kanniya Hot Springs, Maha Oya Hot Water Springs, Madunagala Hot Water Spring, Madu River"
"boat safaris, hiking, historic sites","Madu River, Ella Rock, Polonnaruwa Ancient City, Anuradhapura, Bentota River"
"sailing lessons, amusement parks, archaeological sites","Colombo Port City, Excel World, Negombo, Anuradhapura, Perl Bay"
